Country,City,lat,lng,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM AQI Value,PM AQI Category
India,Cuncolim,15.1773,73.9939,73,Moderate,0,Good,25,Good,0,Good,73,Moderate
Brazil,Curvelo,-18.7558,-44.4308,42,Good,1,Good,2,Good,4,Good,42,Good
Germany,Cuxhaven,53.8611,8.6944,35,Good,0,Good,35,Good,0,Good,30,Good
United States of America,Cypress Lake,26.5392,-81.8999,46,Good,1,Good,25,Good,5,Good,46,Good
Guinea,Dalaba,10.656,-12.272,63,Moderate,2,Good,13,Good,0,Good,63,Moderate
France,Beaune,47.025,4.8397,39,Good,1,Good,26,Good,1,Good,39,Good
United States of America,Bedford,52.135,-0.47,56,Moderate,1,Good,18,Good,6,Good,56,Moderate
United States of America,Bedford,32.8464,-97.135,56,Moderate,1,Good,18,Good,6,Good,56,Moderate
United States of America,Bedford,42.9406,-71.5302,56,Moderate,1,Good,18,Good,6,Good,56,Moderate
United States of America,Bedford,41.225,-73.6673,56,Moderate,1,Good,18,Good,6,Good,56,Moderate
United States of America,Bedford,42.4969,-71.2783,56,Moderate,1,Good,18,Good,6,Good,56,Moderate
United States of America,Bedford,38.8602,-86.4895,56,Moderate,1,Good,18,Good,6,Good,56,Moderate
United States of America,Bedford,41.3919,-81.536,56,Moderate,1,Good,18,Good,6,Good,56,Moderate
Ghana,Begoro,6.3833,-0.3833,105,Unhealthy for Sensitive Groups,2,Good,13,Good,2,Good,105,Unhealthy for Sensitive Groups
China,Beipiao,41.802,120.7621,93,Moderate,2,Good,90,Moderate,1,Good,93,Moderate
Brazil,Bela Cruz,-3.0508,-40.1678,45,Good,0,Good,22,Good,0,Good,45,Good
Bolivia (Plurinational State of),Bermejo,-22.7322,-64.3425,54,Moderate,1,Good,8,Good,1,Good,54,Moderate
Germany,Bernburg,51.8,11.7333,36,Good,0,Good,29,Good,2,Good,36,Good
United States of America,Berwick,41.0555,-76.2492,50,Good,1,Good,35,Good,5,Good,50,Good
India,Betma,22.68,75.62,153,Unhealthy,1,Good,34,Good,0,Good,153,Unhealthy
United States of America,Beverly,42.5681,-70.8627,48,Good,1,Good,36,Good,5,Good,48,Good
Russian Federation,Bezhetsk,57.7667,36.7,24,Good,0,Good,24,Good,0,Good,24,Good
Pakistan,Bhalwal,32.2656,72.8994,179,Unhealthy,3,Good,179,Unhealthy,2,Good,166,Unhealthy
India,Bhiwandi,19.2967,73.0631,151,Unhealthy,1,Good,26,Good,1,Good,151,Unhealthy
